Flight Number,Type,Status,Departure IATA Code,Departure ICAO Code,Scheduled Time,Actual Time,Arrival IATA Code,Arrival ICAO Code,Arrival Estimated Time,Days,Month,Year,Hour,Temperature (°F)Max,Temperature (°F)avg,Temperature (°F)Min,Dew Point (°F)Max,Dew Point (°F)avg,Dew Point (°F)Min,Humidity (%)Max,Humidity (%)avg,Humidity (%)Min,Wind Speed (mph)Max,Wind Speed (mph)avg,Wind Speed (mph)Min,Pressure (in)Max,Pressure (in)avg,Pressure (in)Min,departure_delay
737,departure,active,lhe,opla,2023-07-20 20:50:00,2023-07-20 20:15:00,ruh,oerk,2023-07-20 21:54:00,20,Jul,2023,20,0.6059951168762243,0.81995218096666,0.9654681711757287,1.4651788877991145,1.630531390078608,1.4327181483072775,0.5318557185810084,0.8277967689783762,1.0890876793839293,-0.3290071390182776,-0.09544065859545513,-0.34509181601573896,-0.8974603346473287,-0.45455020032997795,0.2693279849056884,0.0
843,departure,active,lhe,opla,2023-07-18 15:05:00,,khi,opkc,,18,Jul,2023,15,0.6059951168762243,0.9003655828035092,1.0798672684774988,1.4651788877991145,1.6555735685943718,1.4327181483072775,0.1800013086562464,0.6915151425770522,1.0890876793839293,0.06814252053364582,1.1640243045848255,-0.34509181601573896,-1.3375054019582626,-0.45455020032997795,0.2693279849056884,0.0
841,departure,active,lhe,opla,2023-07-23 09:50:00,,khi,opkc,,23,Jul,2023,9,0.6059951168762243,0.7127343118508609,0.7938695252230734,1.2923769084807832,1.2966356765350884,1.1707196418795751,0.109630426671294,0.5304550386482153,0.7096046787078417,-0.17014727519750822,0.624253606078991,-0.34509181601573896,-0.457415267336379,-0.18081156938640752,0.2817514656369536,0.0
205,departure,active,lhe,opla,2023-07-26 23:30:00,2023-07-26 23:51:00,kwi,okkk,2023-07-27 01:24:00,26,Jul,2023,23,0.47647985005228427,0.7328376623100739,0.9082686225248436,1.55157987745828,1.5554048545313168,1.3017188950934264,1.305935420415485,0.9145214403246735,0.8722402504261649,0.06814252053364582,0.624253606078991,-0.34509181601573896,-0.8974603346473287,-0.18081156938640752,0.2817514656369536,0.8553383326119179
723,departure,active,lhe,opla,2023-07-20 11:35:00,,dxb,omdb,,20,Jul,2023,11,0.6059951168762243,0.81995218096666,0.9654681711757287,1.4651788877991145,1.630531390078608,1.4327181483072775,0.5318557185810084,0.8277967689783762,1.0890876793839293,-0.3290071390182776,-0.09544065859545513,-0.34509181601573896,-0.8974603346473287,-0.45455020032997795,0.2693279849056884,0.0
401,departure,active,lhe,opla,2023-07-28 09:00:00,,khi,opkc,,28,Jul,2023,9,0.47647985005228427,0.6926309613916488,0.9082686225248436,1.2923769084807832,1.3717622120823807,1.3017188950934264,0.5318557185810084,0.6915151425770522,0.8722402504261649,-0.2495772071078929,0.44433003991037967,-0.34509181601573896,-1.3375054019582626,-0.45455020032997795,0.2693279849056884,0.0
735,departure,active,lhe,opla,2023-07-23 11:40:00,,jed,oejn,,23,Jul,2023,11,0.6059951168762243,0.7127343118508609,0.7938695252230734,1.2923769084807832,1.2966356765350884,1.1707196418795751,0.109630426671294,0.5304550386482153,0.7096046787078417,-0.17014727519750822,0.624253606078991,-0.34509181601573896,-0.457415267336379,-0.18081156938640752,0.2817514656369536,0.0
7915,departure,active,lhe,opla,2023-07-16 09:25:00,,doh,othh,,16,Jul,2023,9,0.15269168299243413,0.5452063913574254,0.7938695252230734,1.4651788877991145,1.4552361404682606,1.3017188950934264,0.5318557185810084,1.137527738072294,1.4685706800600167,0.38586224817518455,1.2154310377758577,3.0001859923000973,-1.3375054019582626,-0.45455020032997795,0.2817514656369536,0.0
9090,departure,active,lhe,opla,2023-07-30 22:00:00,,kmg,zppp,,30,Jul,2023,22,0.47647985005228427,0.6457231436534867,0.5650713306195332,1.119574929162452,1.2715934980193246,1.1707196418795751,0.8837101285057705,0.6605420456676604,0.7096046787078417,-0.5672969347494317,-0.6352113571012897,-0.34509181601573896,-1.3375054019582626,-0.45455020032997795,0.2693279849056884,0.0
525,departure,cancelled,lhe,opla,2023-07-22 20:30:00,,khi,opkc,,22,Jul,2023,20,-0.235854117479386,0.22355278401002976,0.6794704279213033,1.2923769084807832,1.3133304622122646,1.1707196418795751,1.305935420415485,1.7136273405869809,2.1733248241727505,0.38586224817518455,1.6266849033041126,1.6620748689737628,-0.457415267336379,-6.476800081088653,-3.2962109849673857,0.0
344,departure,active,lhe,opla,2023-07-24 10:45:00,2023-07-24 10:54:00,bgw,orbi,2023-07-24 12:44:00,24,Jul,2023,10,0.7355103837001644,0.759642129589023,0.9654681711757287,1.55157987745828,1.4969731046612007,1.3017188950934264,0.5318557185810084,0.7224882394864439,0.926452107665606,0.9418717715478773,0.47003340650589553,-0.34509181601573896,-0.8974603346473287,-0.18081156938640752,0.2817514656369536,0.0
